Infinitif;Preterit;ParticipePasse;Traduction
awake;awoke;awoken;(se) réveiller
be;was/were;been;être
bear;bore;borne;porter/supporter/soutenir
beat;beat;beaten;battre
become;became;become;devenir
begin;began;begun;commencer
bend;bent;bent;se courber
bet;bet;bet;parier
bid;bade;bidden;ordonner
bind;bound;bound;lier
bite;bit;bitten;mordre
bleed;bled;bled;saigner
blow;blew;blown;souffler
break;broke;broken;casser
breed;bred;bred;élever
bring;brought;brought;apporter
build;built;built;construire
burn;burnt;burnt;brûler
burst;burst;burst;éclater
buy;bought;bought;acheter
cast;cast;cast;jeter
catch;caught;caught;attraper
choose;chose;chosen;choisir
cling;clung;clung;se cramponner
come;came;come;venir
cost;cost;cost;coûter
creep;crept;crept;ramper/se glisser/se hérisser
cut;cut;cut;couper
deal;dealt;dealt;distribuer/traiter
dig;dug;dug;bêcher
do;did;done;faire
draw;drew;drawn;tirer/dessiner
dream;dreamt;dreamt;rêver
drink;drank;drunk;boire
drive;drove;driven;conduire
dwell;dwelt;dwelt;habiter/rester
eat;ate;eaten;manger
fall;fell;fallen;tomber
feed;fed;fed;nourrir
feel;felt;felt;(se) sentir
fight;fought;fought;combattre
find;found;found;trouver
flee;fled;fled;fuir
fling;flung;flung;jeter
fly;flew;flown;voler
forbid;forbade;forbidden;interdire
forget;forgot;forgotten;oublier
forgive;forgave;forgiven;pardonner
freeze;froze;frozen;geler
get;got;got;obtenir
give;gave;given;donner
go;went;gone;aller
grind;ground;ground;broyer/moudre
grow;grew;grown;cultiver/pousser/grandir
hang;hung;hung;pendre
have;had;had;avoir
hear;heard;heard;entendre
hide;hid;hidden;(se) cacher
hit;hit;hit;frapper
hold;held;held;tenir
hurt;hurt;hurt;nuire
keep;kept;kept;garder
kneel;knelt;knelt;s'agenouiller
knit;knit;knit;tricoter
know;knew;known;savoir/connaître
lay;laid;laid;étendre/coucher
lead;led;led;mener
leap;leapt;leapt;sauter/bondir
learn;learnt;learnt;apprendre
leave;left;left;quitter/laisser
lend;lent;lent;prêter
let;let;let;laisser/louer
lie;lay;lain;reposer/être couché
light;lit;lit;allumer
lose;lost;lost;perdre
make;made;made;faire
mean;meant;meant;vouloir dire/signifier
meet;met;met;rencontrer
mow;mowed;mown;faucher/tondre
pay;paid;paid;payer
prove;proved;proven;prouver
put;put;put;mettre
quit;quit;quit;quitter/abandonner
read;read;read;lire
rid;rid;ridden;se débarrasser
ride;rode;ridden;monter
ring;rang;rung;sonner/résonner
rise;rose;risen;se lever
run;ran;run;courir
saw;sawed;sawn;scier
say;said;said;dire
see;saw;seen;voir
seek;sought;sought;chercher
sell;sold;sold;vendre
send;sent;sent;envoyer
set;set;set;mettre
sew;sewed;sewn;coudre
shake;shook;shaken;secouer
shine;shone;shone;briller
shoot;shot;shot;tirer/tuer/filmer
show;showed;shown;montrer
shrink;shrank;shrunk;(se) contracter/(se) rétrécir
shut;shut;shut;fermer
sing;sang;sung;chanter
sink;sank;sunk;enfoncer/couler
sit;sat;sat;s'asseoir
sleep;slept;slept;dormir
slide;slid;slid;glisser
smell;smelt;smelt;sentir/flairer
sow;sowed;sown;semer
speak;spoke;spoken;parler
speed;sped;sped;se presser
spell;spelt;spelt;épeler/orthographier
spend;spent;spent;dépenser
spill;spilt;spilt;(se) renverser/(se) répandre
spin;span;spun;faire tourner/filer
spit;spat;spat;cracher
split;split;split;(se) fendre
spoil;spoilt;spoilt;abîmer/gâter
spread;spread;spread;étendre
spring;sprang;sprung;bondir
stand;stood;stood;être debout
steal;stole;stolen;voler
stick;stuck;stuck;coller
sting;stung;stung;piquer/brûler
stink;stank;stunk;puer
strike;struck;struck;frapper/se mettre en grève
strive;strove;striven;s'efforcer
swear;swore;sworn;jurer
sweep;swept;swept;balayer
swell;swelled;swollen;gonfler
swim;swam;swum;nager
swing;swung;swung;balancer
take;took;taken;prendre
teach;taught;taught;enseigner
tear;tore;torn;déchirer
tell;told;told;raconter
think;thought;thought;penser
thrive;throve;thriven;prospérer
throw;threw;thrown;jeter
understand;understood;understood;comprendre
wake;woke;woken;(se) réveiller/(se) ranimer
wear;wore;worn;porter/user
wet;wet;wet;mouiller
win;won;won;gagner
write;wrote;written;écrire

